DetID,MIPMPV_ADC,MIPWIDTH_ADC,MIP_SLOPE
0x18800103,363.40233676016635,207.39096636033196,0.012709025360757908
0x18800102,392.11623429044647,223.7764111296533,0.011778386596945968
0x18800101,414.2326764719969,247.96754146556458,0.011008676763144732
0x18800100,403.719104869643,238.92594047347018,0.01133114338133077
0x18880103,450.83828823840776,280.93089991857426,0.009997019581271215
0x18880102,449.6635098087943,264.6842261875499,0.010188306951347351
0x18880101,480.88704583489454,292.7754422933026,0.009437230277108015
0x18880100,408.2552811627955,254.88553121752324,0.011033293753255628
0x18800107,487.66774670527906,455.75912983474177,0.007722475144232055
0x18800106,491.70441213714224,329.2015857332155,0.00895363091323369
0x18800105,419.39139203735937,246.51655357652072,0.01092787425531641
0x18800104,426.6036436524651,248.34729973799466,0.010770791979448252
0x18880107,423.2696676221089,252.22393369201563,0.01078733823647253
0x18880106,484.1335195771119,339.5738519059786,0.008940316652847379
0x18880105,430.1376102980969,258.6399814819082,0.010588320159402484
0x18880104,420.4101420149713,251.3855400647588,0.010850292397763762
0x18800203,437.14506028656194,265.1867256706471,0.010392363264438667
0x18800202,449.55827933182985,272.02759450709203,0.010112754554436746
0x18800201,472.02806667659485,293.95952466021083,0.009549975060313125
0x18800200,432.863599047573,261.9764070287088,0.010502200387219116
0x18880203,434.0747981822115,261.8835270200287,0.010482315296038812
0x18880202,448.4597125269518,270.3822536626496,0.010148000917421162
0x18880201,423.33054343433963,263.97068195776853,0.010644400987318016
0x18880200,508.03781679123125,334.3575014762379,0.008717051895733128
0x18800207,589.7032054497896,437.037610223475,0.007179827038745367
0x18800206,518.1628272244466,431.53446425623457,0.007742572501732605
0x18800205,433.54971103271225,279.63509079640306,0.010283418656740338
0x18800204,447.1584250606037,274.41632570254524,0.010125474693021986
0x18880207,515.1214276669472,432.44757293772193,0.007756701112161808
0x18880206,443.7466312147373,271.7167997334907,0.01021001074685932
0x18880205,400.46671153649,242.9107685686938,0.011344534266964345
0x18880204,406.55758449817847,229.6958341983895,0.011388568477432186
0x18800303,602.2118023661204,333.2853266322879,0.007726878622925369
0x18800302,544.0185875581016,409.5374049670105,0.007731179548877021
0x18800301,659.1300440970797,362.2560668131674,0.007071126892759182
0x18800300,690.1864230414117,376.80702921416594,0.0067633009256663325
0x18880303,588.5520655233357,289.7512052459452,0.008098735158256676
0x18880302,643.4582632048553,366.2400236066207,0.0071824189471253455
0x18880301,512.2303988535168,302.5363479091474,0.008935633902260974
0x18880300,603.428190503012,325.87681000143516,0.007754694109799892
0x18800307,717.8264298991714,415.321528649643,0.006411389043337482
0x18800306,596.5539774146679,317.0050340765282,0.00787175881708575
0x18800305,629.8427836615348,425.17051097127415,0.006969654148317973
0x18800304,656.4137242199605,370.4605356925015,0.00705551363683698
0x18880307,512.6494606222217,394.7824520836999,0.008122945467358743
0x18880306,656.1831687392337,404.97546481324116,0.006888485151657339
0x18880305,604.2640338195558,415.25786554412844,0.007217937359616338
0x18880304,666.3882994409854,378.91004597523187,0.006937024356136279
0x18800400,703.1411109366005,427.90377119363256,0.00645505013190102
0x18800401,533.6027543342534,407.54883754728553,0.007832558901257643
0x18800402,660.8609790598043,379.45765278684485,0.006977760087348259
0x18800403,609.1116330764544,319.1348102390536,0.007732461473378441
0x18880400,623.4054151170259,337.30632327997006,0.007503008173557672
0x18880401,608.9543399086515,354.5864110545916,0.007545020746307627
0x18880402,543.608076779596,339.5584785392469,0.008284862808092182
0x18880403,603.0784778667772,338.44522272638307,0.0076900990963711694
411042820,-9999,-9999,-9999
0x18800405,689.243456501393,403.9991085473807,0.006654412862871866
0x18800406,694.5920286381718,399.1886851367158,0.006637356061862181
0x18800407,664.7700393678383,371.3507959501807,0.006984229849050591
0x18880404,619.1986202584937,365.49801689395593,0.007393169331155237
0x18880405,708.3268056927578,393.590023342304,0.0065630700845693505
0x18880406,643.2650329871565,397.17896553152855,0.007025890545042322
0x18880407,651.9242348646949,373.93652116151105,0.007075296723019826
0x18800503,743.2133725744883,350.44862301688454,0.0064598652899967475
0x18800502,724.701011235909,345.97791146337886,0.006611721509691699
0x18800501,701.322385583976,332.1375068705768,0.006840994421294292
0x18800500,655.1340236792951,336.20045543741253,0.007219439496247118
0x18880503,660.7449381160301,319.13890721653354,0.007237707757216893
0x18880502,656.441822280311,316.33733128285496,0.007287946380980734
0x18880501,660.8672901388785,325.0536264566434,0.007213707242186877
0x18880500,662.4637013319108,332.866654751658,0.007168485613058069
0x18800507,674.4012361605355,346.74708066126755,0.007010553108887459
0x18800506,672.4921451742795,341.33017237379,0.007048138425282278
